idna_subject,checker_type,destination,tested_at
vn-banks.xyz,AVAILABILITY,origin.list,2023-03-06 06:36:28.145627
vp-nanghanmuc.com,AVAILABILITY,origin.list,2023-03-06 06:36:28.320722
vietcombank.fund,AVAILABILITY,origin.list,2023-03-06 06:36:29.954598
vnebank.xyz,AVAILABILITY,origin.list,2023-03-06 06:36:30.113606
vietinbankis.cc,AVAILABILITY,origin.list,2023-03-06 06:36:30.415321
vnduthianhgroup.com,AVAILABILITY,origin.list,2023-03-06 06:36:30.650967
vietinbankvis.cc,AVAILABILITY,origin.list,2023-03-06 06:36:30.751935
vongquaysieupham-grnfreefirevietnam.club,AVAILABILITY,origin.list,2023-03-06 06:36:31.267500
vntiki.shop,AVAILABILITY,origin.list,2023-03-06 06:36:31.927209
vonocltx.club,AVAILABILITY,origin.list,2023-03-06 06:36:32.157324
vpb-nanghanmuc.com,AVAILABILITY,origin.list,2023-03-06 06:36:32.545824
vipshopee.cc,AVAILABILITY,origin.list,2023-03-06 06:36:32.586563
vnvietcombanks.cc,AVAILABILITY,origin.list,2023-03-06 06:36:32.652858
vnvietcombank.cc,AVAILABILITY,origin.list,2023-03-06 06:36:33.565641
web-membbership-freefire-garena.com,AVAILABILITY,origin.list,2023-03-06 06:36:33.785998
vnhopqua.com,AVAILABILITY,origin.list,2023-03-06 06:36:33.787354
webinfo-ebank.com,AVAILABILITY,origin.list,2023-03-06 06:36:33.862073
vongquaycongnghegarena.com,AVAILABILITY,origin.list,2023-03-06 06:36:34.317397
vpb-hanmuc.com,AVAILABILITY,origin.list,2023-03-06 06:36:35.225212
vongquaylotus.xyz,AVAILABILITY,origin.list,2023-03-06 06:36:35.414675
vongquaysieuphamfreefirevn.club,AVAILABILITY,origin.list,2023-03-06 06:36:35.451096
vuimomo.club,AVAILABILITY,origin.list,2023-03-06 06:36:35.638723
vn-nhanquatang.click,AVAILABILITY,origin.list,2023-03-06 06:36:35.924231
vn-shop.click,AVAILABILITY,origin.list,2023-03-06 06:36:36.907999
voniao.com,AVAILABILITY,origin.list,2023-03-06 06:36:36.982233
webbanklienthong247.com,AVAILABILITY,origin.list,2023-03-06 06:36:37.098346
vongquaysieuphamfreefirevn.com,AVAILABILITY,origin.list,2023-03-06 06:36:37.480942
vietinbanki.top,AVAILABILITY,origin.list,2023-03-06 06:36:38.339918
weblenhangiaivn.com,AVAILABILITY,origin.list,2023-03-06 06:36:38.486584
webtuanlocvang123.com,AVAILABILITY,origin.list,2023-03-06 06:36:38.598677
webnapgame.com,AVAILABILITY,origin.list,2023-03-06 06:36:38.618685
webxacnhankhoanvay24h.com,AVAILABILITY,origin.list,2023-03-06 06:36:38.963796
webnapthegame.com,AVAILABILITY,origin.list,2023-03-06 06:36:39.902012
webtrianvangthang12.com,AVAILABILITY,origin.list,2023-03-06 06:36:39.983094
webtrianthang12.com,AVAILABILITY,origin.list,2023-03-06 06:36:40.080531
xacminh-taikhoan-garena.com,AVAILABILITY,origin.list,2023-03-06 06:36:40.259625
webxacnhankhoanvay247.com,AVAILABILITY,origin.list,2023-03-06 06:36:40.315517
scb.com.vn-rb.icu,AVAILABILITY,origin.list,2023-03-06 06:37:15.976247
xacminhtaikhoan-garena-vn.xyz,AVAILABILITY,origin.list,2023-03-06 06:41:00.636271
xacminhgarenalienquan.com,AVAILABILITY,origin.list,2023-03-06 06:41:00.749356
xacnhankhoanvay247.com,AVAILABILITY,origin.list,2023-03-06 06:41:00.967905
wutienitme247.info,AVAILABILITY,origin.list,2023-03-06 06:41:01.606488
