idna_subject,checker_type,destination,tested_at
napthehangrong.com,AVAILABILITY,origin.list,2023-03-06 06:45:22.354693
vay247h.vn,AVAILABILITY,origin.list,2023-03-06 06:45:22.878985
dangkyshopee.vn,AVAILABILITY,origin.list,2023-03-06 06:45:24.586190
dangkysendo.vn,AVAILABILITY,origin.list,2023-03-06 06:45:24.971666
shopacclm247.online,AVAILABILITY,origin.list,2023-03-06 06:45:24.998658
moviet.icu,AVAILABILITY,origin.list,2023-03-06 06:45:25.203536
ttb5.shop,AVAILABILITY,origin.list,2023-03-06 06:45:27.479673
lazada.bet,AVAILABILITY,origin.list,2023-03-06 06:45:27.511533
garaena.vn,AVAILABILITY,origin.list,2023-03-06 06:45:29.220892
ttb6.shop,AVAILABILITY,origin.list,2023-03-06 06:45:29.415704
vn-mybank.top,AVAILABILITY,origin.list,2023-03-06 06:45:31.009383
lazada1.vn,AVAILABILITY,origin.list,2023-03-06 06:45:31.230390
dangkycongtacvien.vn,AVAILABILITY,origin.list,2023-03-06 06:45:32.837757
binhchonduthitainang2022mua3.weebly.com,AVAILABILITY,origin.list,2023-03-06 06:45:32.949865
com-bank.xyz,AVAILABILITY,origin.list,2023-03-06 06:45:34.325503
currencyconverterbanking.weebly.com,AVAILABILITY,origin.list,2023-03-06 06:45:34.457977
cuocthitainangnhithang12.weebly.com,AVAILABILITY,origin.list,2023-03-06 06:45:35.948151
gionghatvietnhinew.weebly.com,AVAILABILITY,origin.list,2023-03-06 06:45:36.164105
cl247.me,AVAILABILITY,origin.list,2023-03-06 06:45:36.667953
